OrderID,PaymentID,Cash,Transfer,PaymentDate
ORD031516,PAYM983455,yes,no,2023-11-25
ORD081452,PAYM660706,yes,no,2023-01-14
ORD063728,PAYM227983,yes,no,2023-08-25
ORD080929,PAYM788687,no,yes,2023-12-30
ORD016091,PAYM478255,yes,no,2023-11-20
ORD029468,PAYM141362,no,yes,2023-07-12
ORD063887,PAYM322996,no,yes,2023-11-11
ORD017836,PAYM368370,no,yes,2023-08-31
ORD054935,PAYM284535,no,yes,2023-08-13
ORD079547,PAYM134613,no,yes,2023-09-21
ORD000527,PAYM493910,no,yes,2023-05-13
ORD026945,PAYM372241,no,yes,2023-02-08
ORD040210,PAYM930110,no,yes,2023-12-01
ORD064316,PAYM967716,yes,no,2023-01-30
ORD062245,PAYM537149,no,yes,2023-06-14
ORD082944,PAYM216968,yes,no,2023-03-26
ORD083116,PAYM412771,no,yes,2023-09-28
ORD029474,PAYM187189,no,yes,2023-03-21
ORD069168,PAYM602419,yes,no,2023-05-23
ORD022174,PAYM603329,yes,no,2023-08-09
ORD031252,PAYM710300,no,yes,2023-10-18
ORD059086,PAYM860621,no,yes,2023-04-08
ORD033717,PAYM263967,no,yes,2023-11-16
ORD071957,PAYM522216,yes,no,2023-08-24
ORD014153,PAYM954489,yes,no,2023-11-27
ORD023161,PAYM322376,yes,no,2023-03-09
ORD004731,PAYM985330,yes,no,2023-03-06
ORD002927,PAYM750802,yes,no,2023-08-22
ORD039142,PAYM540153,no,yes,2023-08-23
ORD043786,PAYM155036,no,yes,2023-01-20
ORD082953,PAYM825906,no,yes,2023-02-18
ORD028886,PAYM482697,yes,no,2023-02-17
ORD058258,PAYM767889,yes,no,2023-01-31
ORD020311,PAYM535330,yes,no,2023-12-03
ORD053480,PAYM287230,no,yes,2023-09-04
ORD038555,PAYM953401,yes,no,2023-08-23
ORD081544,PAYM987903,no,yes,2023-11-26
ORD047321,PAYM430314,no,yes,2023-04-14
ORD046110,PAYM563144,no,yes,2023-02-13
ORD009771,PAYM646168,no,yes,2023-09-14
ORD033470,PAYM526333,yes,no,2023-11-15
ORD079989,PAYM161169,yes,no,2023-11-28
ORD083107,PAYM418366,no,yes,2023-04-13
ORD049766,PAYM852044,no,yes,2023-03-31
ORD058954,PAYM962482,no,yes,2023-09-25
ORD074172,PAYM874199,yes,no,2023-01-15
ORD052140,PAYM297416,yes,no,2023-03-21
ORD008311,PAYM264274,yes,no,2023-08-13
ORD034900,PAYM893162,no,yes,2023-12-05
ORD044017,PAYM922291,yes,no,2023-11-27
ORD025811,PAYM429597,no,yes,2023-09-13
ORD003806,PAYM571978,no,yes,2023-04-27
ORD005632,PAYM101524,yes,no,2023-08-26
ORD077538,PAYM575605,yes,no,2023-01-18
ORD072032,PAYM872445,no,yes,2023-05-27
ORD078042,PAYM904224,yes,no,2023-02-02
ORD073879,PAYM726643,no,yes,2023-04-04
ORD079279,PAYM746724,no,yes,2023-05-19
ORD001673,PAYM888506,yes,no,2023-07-28
ORD009026,PAYM263793,no,yes,2023-03-20
ORD057199,PAYM760399,no,yes,2023-12-15
ORD068082,PAYM484867,no,yes,2023-10-08
ORD049064,PAYM756986,yes,no,2023-11-06
ORD065943,PAYM906984,yes,no,2023-05-25
ORD036039,PAYM901750,no,yes,2023-02-21
ORD035444,PAYM527175,no,yes,2023-07-26
ORD072152,PAYM139730,no,yes,2023-09-06
ORD058021,PAYM730960,yes,no,2023-03-17
ORD067704,PAYM281674,yes,no,2023-04-06
ORD034640,PAYM520050,yes,no,2023-12-26
ORD020430,PAYM419561,yes,no,2023-10-27
ORD036038,PAYM842105,yes,no,2023-12-23
ORD062683,PAYM974996,no,yes,2023-09-04
ORD049241,PAYM400623,yes,no,2023-10-28
ORD070536,PAYM651349,no,yes,2023-07-28
ORD050926,PAYM480317,yes,no,2023-11-26
ORD062898,PAYM620973,yes,no,2023-10-28
ORD065761,PAYM635811,yes,no,2023-02-09
ORD057221,PAYM935722,no,yes,2023-01-19
ORD045903,PAYM794688,no,yes,2023-06-29
ORD025909,PAYM850906,no,yes,2023-11-12
ORD035833,PAYM523582,no,yes,2023-06-14
ORD065963,PAYM231567,no,yes,2023-01-22
ORD076262,PAYM823155,yes,no,2023-03-04
ORD029753,PAYM760279,yes,no,2023-11-16
ORD035427,PAYM881959,yes,no,2023-01-10
ORD051120,PAYM113410,no,yes,2023-01-11
ORD060669,PAYM562212,no,yes,2023-12-03
ORD026162,PAYM859569,yes,no,2023-11-14
ORD005195,PAYM627143,yes,no,2023-04-06
ORD020881,PAYM144957,no,yes,2023-11-16
ORD063359,PAYM877682,yes,no,2023-04-18
ORD057713,PAYM598613,yes,no,2023-07-02
ORD058494,PAYM622826,yes,no,2023-07-05
ORD057608,PAYM274220,no,yes,2023-01-25
ORD028184,PAYM703384,no,yes,2023-04-09
ORD023015,PAYM685239,no,yes,2023-07-22
ORD064681,PAYM598599,no,yes,2023-06-26
ORD074118,PAYM934157,yes,no,2023-01-06
ORD008925,PAYM880775,no,yes,2023-09-03
ORD052825,PAYM751497,yes,no,2023-04-13
ORD007573,PAYM309333,no,yes,2023-09-19
ORD057041,PAYM317467,yes,no,2023-01-28
ORD025930,PAYM189371,no,yes,2023-10-14
ORD081355,PAYM408707,yes,no,2023-05-18
ORD053210,PAYM918505,no,yes,2023-10-27
ORD016019,PAYM855009,no,yes,2023-11-15
ORD035775,PAYM506978,no,yes,2023-08-13
ORD037388,PAYM657226,no,yes,2023-07-05
ORD002735,PAYM813242,no,yes,2023-04-04
ORD078470,PAYM603745,no,yes,2023-05-19
ORD007496,PAYM261539,yes,no,2023-05-04
ORD075286,PAYM690773,no,yes,2023-05-30
ORD064917,PAYM737084,no,yes,2023-05-02
ORD015973,PAYM435508,yes,no,2023-07-03
ORD042760,PAYM402277,no,yes,2023-08-19
ORD010793,PAYM224611,yes,no,2023-01-26
ORD007483,PAYM861825,yes,no,2024-01-02
ORD001331,PAYM398848,yes,no,2023-11-17
ORD037766,PAYM844819,no,yes,2023-04-25
ORD008251,PAYM983321,no,yes,2023-11-25
ORD058474,PAYM493653,yes,no,2023-11-30
ORD014868,PAYM415227,no,yes,2023-03-12
ORD063411,PAYM142228,yes,no,2023-06-04
ORD058576,PAYM859596,no,yes,2023-10-23
ORD050786,PAYM630721,yes,no,2023-10-29
ORD002360,PAYM129729,yes,no,2023-01-05
ORD077786,PAYM635724,no,yes,2023-06-29
ORD052328,PAYM572270,yes,no,2023-01-21
ORD028731,PAYM413042,yes,no,2023-09-29
ORD003122,PAYM308152,no,yes,2023-06-22
ORD034136,PAYM559478,yes,no,2023-01-29
ORD024159,PAYM896641,no,yes,2023-04-05
ORD073343,PAYM394792,yes,no,2023-10-08
ORD014480,PAYM708004,no,yes,2023-04-27
ORD052179,PAYM754268,no,yes,2023-12-08
ORD077012,PAYM661767,no,yes,2023-01-03
ORD031691,PAYM153718,yes,no,2023-05-15
ORD018419,PAYM379576,no,yes,2023-01-17
ORD079674,PAYM490638,yes,no,2023-08-31
ORD072649,PAYM674912,no,yes,2023-12-26
ORD014040,PAYM508309,yes,no,2023-10-12
ORD007450,PAYM185369,yes,no,2023-08-11
ORD006416,PAYM535588,no,yes,2023-02-11
ORD025773,PAYM494222,no,yes,2023-11-28
ORD032678,PAYM938658,yes,no,2023-08-28
ORD036731,PAYM123207,yes,no,2023-03-25
ORD018935,PAYM656633,yes,no,2023-01-14
ORD079732,PAYM288005,yes,no,2023-08-21
ORD000831,PAYM846539,no,yes,2023-11-28
ORD025448,PAYM928723,yes,no,2023-08-02
ORD049671,PAYM302892,yes,no,2023-03-18
ORD065104,PAYM756259,no,yes,2023-07-15
ORD029871,PAYM152080,yes,no,2024-01-02
ORD045146,PAYM145849,no,yes,2023-12-06
ORD052320,PAYM697480,no,yes,2023-04-17
ORD010632,PAYM673502,yes,no,2023-05-16
ORD036414,PAYM924406,yes,no,2023-10-29
ORD046260,PAYM422779,yes,no,2023-02-10
ORD006551,PAYM181996,no,yes,2023-10-04
ORD000521,PAYM810991,yes,no,2023-01-08
ORD007213,PAYM213813,yes,no,2023-11-16
ORD078192,PAYM954115,no,yes,2023-05-29
ORD043488,PAYM669497,no,yes,2023-03-25
